question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
ENG-0004,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What was the common ritual at the morning assembly at Stardom on Tuesdays and Thusdays?,,Christian and Muslim Prayers.,Words of Exaltation.,The second stanza of the national anthem.,The principal’s address.,C,,jamb|2025,past-question,active
ENG-0005,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,How much was the boarding house fee per session at Stardom before it was reduced?,,One hundred and sixty three thousand naira,Two hundred and fifty thousand naira.,One hundred and sixty thousand naira.,Ninety three thousand naira.,B,,jamb|2025,past-question,active
ENG-0006,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Who instructed the Chemistry teacher to conclude the assembly after Mr Bepo burst into tears?,,The principal.,The Managing Director.,The Vice Principal.,The school nurse.,C,,jamb|2025,past-question,active
ENG-0007,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Why did the Vice Principal contact the MD after Mr Bepo’s crying incident at the assembly?,,To arrange an emergency meeting.,Because parents were calling with concerns.,To announce the principal’s retirement.,To discuss boarding fee reductions.,B,,jamb|2025,past-question,active
ENG-0008,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,The principal was nicknamed “The Lekki Headmaster” because...,,He lived in Lekki during his time as a headmaster.,He humorously imitated characters from the Village Headmaster.,He introduced a new curriculum in the school.,He founded Stardom Kiddies School.,B,,jamb|2025,past-question,active
ENG-0009,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Which teachers were reprimanded because two of their candidates had Ds in their subjects?,,Mr. Ope Wande and Mrs. Grace Apeh.,Mr. Audu and Mr. Justus Anabel.,Mr. Obong Ukake and Miss Taye Kareem.,Mr. Bepo and Mr. Ope Wande.,C,,jamb|2025,past-question,active
ENG-0010,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Who among the staff at Stardom School is also a pastor?,,Mr. Justus Anabel.,Mr. Ope Wande.,Mr. Audu.,Mr. Obong Ukake.,B,,jamb|2025,past-question,active
ENG-0011,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What was given as a reward to teachers whose students scored distinctions in their subjects?,,"₦30,000 each.","₦20,000 each.",Bottles of wine only.,A special commendation letter.,A,,jamb|2025,past-question,active
ENG-0012,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Why did the MD decide to send the principal home after the crying incident?,,To protect the school’s reputation.,To avoid disturbing the students further.,To allow the principal to rest.,To prepare for a replacement.,A,,jamb|2025,past-question,active
ENG-0013,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Who accompanied the principal to his home on the day of the crying incident?,,The MD herself.,The guidance counsellor.,Pastor Wande.,The school nurse.,B,,jamb|2025,past-question,active
ENG-0014,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What was the student Ikenna Egbu’s speech about?,,The “Japa” trend in our modern society.,The principal’s contributions to the school.,The importance of punctuality.,A recent excursion to Jos.,D,,jamb|2025,past-question,active
ENG-0015,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Why is Mr. Bepo reluctant to relocate to the United Kingdom?,,He does not want to leave his students.,He is afraid of adapting to a new environment.,He believes life in Nigeria is better.,He does not want to leave his wife and children behind.,A,,jamb|2025,past-question,active
ENG-0016,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What trait earned Mr. Bepo the nickname “The Lekki Headmaster”?,,His strictness with students,His excellent teaching skills,His ability to resolve conflicts amicably,His innovative teaching methods,C,,jamb|2025,past-question,active
ENG-0017,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,Who coined the nickname “The Lekki Headmaster”?,,Mr. Audu,Mr. Bepo’s wife,Nike and Kike,The students at Stardom Kiddies,A,,jamb|2025,past-question,active
ENG-0018,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,How much does Seri earn monthly as a nurse in the United Kingdom?,,"£3,600","£6,000","£10,000","£1,000",C,,jamb|2025,past-question,active
ENG-0019,JAMB,English,Reading Comprehension,The Lekki Headmaster,medium,2025,,What was Mr. Bepo’s monthly salary at Stardom Schools?,,"N400,000","N200,000","N600,000","N1,000,000",A,,jamb|2025,past-question,active
