topic,difficulty,question_text,option_a,option_b,option_c,option_d,correct_option,explanation
Algebra,3,"Express \(\frac{1}{x^3-1}\) in partial fractions. \(\quad (\text{Jamb 1999}). \)","\(\frac{1}{3}\Big(\frac{1}{x-1} - \frac{(x+2)}{x^2+x+1}\Big)\)","\(\frac{1}{3}\Big(\frac{1}{x-1} - \frac{x-2}{x^2+x+1}\Big)\)","\(\frac{1}{3}\Big(\frac{1}{x-1} - \frac{(x-2)}{x^2+x+1}\Big)\)","\(\frac{1}{3}\Big(\frac{1}{x-1} - \frac{(x-1)}{x^2-x-1}\Big)\)",A,"To decompose \(\frac{1}{x^3-1}\) into partial fractions, first note that \(x^3-1\) factors as \((x-1)(x^2+x+1)\). We write: \(\frac{1}{(x-1)(x^2+x+1)} = \frac{A}{x-1} + \frac{Bx+C}{x^2+x+1}\). Setting \(x=1\) gives \(1 = A(1+1+1)=3A\) so that \(A=\frac{1}{3}\). Solving for \(B\) and \(C\) by equating coefficients yields \(B=-\frac{1}{3}\) and \(C=-\frac{2}{3}\). Thus, the decomposition becomes \(\frac{1}{3}\Big(\frac{1}{x-1} - \frac{x+2}{x^2+x+1}\Big)\), which is option A."
Algebra,3,"The first term of a geometric progression is twice its common ratio. Find the sum of the first two terms of the G.P if its sum to infinity is 8. \(\quad (\text{Jamb 1999}). \)","\(\frac{8}{5}\)","\(\frac{8}{3}\)","\(\frac{72}{25}\)","\(\frac{56}{9}\)",C,"Let the common ratio be \(r\) and the first term \(a\). We are given \(a=2r\) and the sum to infinity \(S_{\infty}=\frac{a}{1-r}=8\). Substitute \(a=2r\): \(\frac{2r}{1-r}=8\), which leads to \(2r=8(1-r)\) or \(10r=8\) so that \(r=0.8\) and \(a=1.6\). The sum of the first two terms is \(a+ar=1.6(1+0.8)=1.6(1.8)=2.88\), and \(2.88\) equals \(\frac{72}{25}\). Thus, the correct answer is option C."
Financial Arithmetic,2,"A trader bought 100 oranges at 5 for N1.20, 20 oranges got spoilt and the remaining were sold at 4 for N1.50. Find the percentage gain or loss. \(\quad (\text{Jamb 1999}). \)","\(30\%\) gain","\(25\%\) gain","\(30\%\) loss","\(25\%\) loss",B,"First, we calculate the cost price (CP) of the oranges. The trader bought 100 oranges at a rate of 5 for N1.20, so the number of groups is \(\frac{100}{5}=20\). Thus, \(\text{CP}=20 \times 1.20=N24\). Next, since 20 oranges spoiled, 80 oranges were sold at 4 for N1.50, so the number of groups is \(\frac{80}{4}=20\) and the selling price (SP) is \(\text{SP}=20 \times 1.50=N30\). The profit is \(\text{Profit}=30-24=N6\). Finally, the percentage gain is calculated as \(\frac{6}{24}\times 100\%\ =25\%\). Therefore, the correct answer is option B."
Number Bases,2,"What is the answer when \(2434_6\) is divided by \(42_6\)? \(\quad (\text{Jamb 1999}). \)","\(23_6\)","\(35_6\)","\(52_6\)","\(55_6\)",B,"Step 1: Convert \(2434_6\) to base 10 using: \(\displaystyle 2434_6 = 2\times6^3 + 4\times6^2 + 3\times6^1 + 4 = 432+144+18+4 = 598.\) Step 2: Convert \(42_6\) to base 10: \(\displaystyle 42_6 = 4\times6+2 = 24+2 = 26.\) Step 3: Divide the results: \(\displaystyle 598\div26=23.\) Step 4: Express 23 in base 6, which is \(35_6\). Hence, the correct answer is option B."
Binary Operations,2,"A binary operation \(*\) is defined by \(a*b = ab + a + b\) for any real numbers \(a\) and \(b\). If the identity element is 0, find the inverse of 2 under this operation. \(\quad (\text{Jamb 1999}). \)","\( \frac{2}{3} \)","\( \frac{1}{2} \)","\( -\frac{1}{2} \)","\( -\frac{2}{3} \)",D,"Here, the operation is defined as \(a*b = ab + a + b\). The identity element is the number that, when used in the operation with any number, gives back that number. In this case, 0 is the identity. To find the inverse of 2 (call it \(x\)), we need \(2*x = 0\). That means \(2x + 2 + x = 3x + 2 = 0\). Solving for \(x\), we subtract 2 from both sides and then divide by 3: \(x = -\frac{2}{3}\)."
Algebra,1,"Factorize completely \(x^{2} + 2xy + y^{2} + 3x + 3y - 18\) \(\quad (\text{Jamb 1999}). \)","\((x+y+6)(x+y-3)\)","\((x-y-6)(x-y+3)\)","\((x-y+6)(x-y-3)\)","\((x+y-6)(x+y+3)\)",A,"Notice that \(x^{2} + 2xy + y^{2}\) can be rewritten as \((x+y)^2\). Then the expression becomes \((x+y)^2 + 3(x+y) - 18\). Think of it as a quadratic in the term \(u = x+y\): then it is \(u^2 + 3u - 18\). When you factor this quadratic, you get \((u+6)(u-3)\). Replacing \(u\) with \(x+y\) gives \((x+y+6)(x+y-3)\)."
Sets,2,"A group of market women sell at least one of yam, plantain and maize. 12 sell maize, 10 sell yam and 14 sell plantain; 5 sell plantain and maize, 4 sell yam and maize, 2 sell yam and plantain only while 3 sell all three. How many women are in the group? \(\quad (\text{Jamb 1999}). \)",25,19,18,17,A,"Using the principle of inclusion-exclusion, first add the numbers who sell each item: \(12+10+14=36\). Then subtract those counted twice: \(5+4+(2+3)=14\) (note: the 2 who sell yam and plantain only plus the 3 who sell all three make 5 for that pair). Finally, add back the 3 counted three times. Thus, \(36-14+3=25\). Therefore, the correct answer is option A."
Logarithms,2,"If \( \log_8 10 = X \), evaluate \( \log_8 5 \) in terms of \( X \). \(\quad (\text{Jamb 1999}). \)",\( \frac{1}{2}X \),\( X-\frac{1}{4} \),\( X-\frac{1}{3} \),\( X-\frac{1}{2} \),C,"We start with \( \log_8 10 = X \). Since \(10=2\times5\), using log properties: \(\log_8 10 = \log_8 2+\log_8 5\). Because \(8=2^3\), we have \(\log_8 2=\frac{1}{3}\). Therefore, \(X=\frac{1}{3}+\log_8 5\), so \(\log_8 5=X-\frac{1}{3}\). Hence, the correct answer is option C."
Algebra,3,"Find the value of \( X \) if \(\displaystyle \frac{\sqrt{2}}{x+\sqrt{2}} = \frac{1}{x-\sqrt{2}}\). \(\quad (\text{Jamb 1999}). \)",\(3\sqrt{2}+4\),\(3\sqrt{2}-4\),\(3-2\sqrt{2}\),\(4+2\sqrt{2}\),B,"Cross-multiply to eliminate fractions: \(\sqrt{2}(x-\sqrt{2})=x+\sqrt{2}\). Expanding gives \(x\sqrt{2}-2=x+\sqrt{2}\). Rearranging, \(x\sqrt{2}-x=2+\sqrt{2}\), or \(x(\sqrt{2}-1)=2+\sqrt{2}\). Solve for \(x\): \(x=\frac{2+\sqrt{2}}{\sqrt{2}-1}\). Rationalize the denominator by multiplying numerator and denominator by \(\sqrt{2}+1\): \(x=\frac{(2+\sqrt{2})(\sqrt{2}+1)}{(\sqrt{2})^2-1^2}=\frac{(2+\sqrt{2})(\sqrt{2}+1)}{2-1}=(2+\sqrt{2})(\sqrt{2}+1)\). Expanding this product gives \(2\sqrt{2}+2+2+\sqrt{2}=3\sqrt{2}+4\). Thus, the correct answer is option B."
Number Bases,3,"If \(2_9 \times (Y3)_9 = 3_5 \times (Y3)_5\), find the value of \(Y\). \(\quad (\text{Jamb 1999}). \)",4,3,2,1,D,"Convert each number to base 10: \(2_9=2\), \((Y3)_9=9Y+3\), \(3_5=3\), and \((Y3)_5=5Y+3\). Then form the equation: \(2(9Y+3)=3(5Y+3)\). Expanding gives \(18Y+6=15Y+9\). Subtract \(15Y\) from both sides to get \(3Y+6=9\); hence, \(3Y=3\) and \(Y=1\). Thus, the correct answer is option D."
