question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,option_e,correct_option,explanation,tags,source,status,source_pdf,source_page,pdf_question_number,needs_answer_key,needs_option_review,needs_image_review
MTH-1983-001,JAMB,Mathematics,Past Questions,,medium,1983,,"If M represents the median and D the mode of the
measurements 5, 9, 3, 5, 8 then (M,D) is",,"(6,5)","(5,8)","(5,7)","(5,5)","(7,5)",,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,2,1,yes,no,no
MTH-1983-002,JAMB,Mathematics,Past Questions,,medium,1983,,"A construction company is owned by two partners X
and Y and it is agreed that their profit will be divided in
the ratio 4:5. at the end of the year. Y received #5,000
more than x. what is the total profit of the company for
the year?",,"#20,000.00","P’0#25,000.00","#30,000.00","#15,000.003","#45,000.00",,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,2,2,yes,no,no
MTH-1983-003,JAMB,Mathematics,Past Questions,,medium,1983,,"Given a regular hexagon, calculate each interior angle
of the hexagon.",,600,300,1200,450,1350,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,2,3,yes,no,no
MTH-1983-004,JAMB,Mathematics,Past Questions,,medium,1983,,"Solve the following equations
4x – 3 = 3x + y = 2y + 5x – 12",,"4x = 5, y= 2","x = 2, y= 5","x = -2, y= -5","x = 5, y= -2","x = -5, y= -2",,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,2,4,yes,no,no
MTH-1983-005,JAMB,Mathematics,Past Questions,,medium,1983,,"If x = 1 is root of the equation
x3 – 2x2 – 5x + 6, find the other roots",,-3 and 2,–2 and 2,3 and –2,1 and 3,–3 and 1,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,2,5,yes,no,no
MTH-1983-006,JAMB,Mathematics,Past Questions,,medium,1983,,"If x is jointly proportional to the cube of y and the
fourth power of z. In what ratio is x increased or
decreased when y is halved and z is doubled?",,4:1 increase,2:1 increase,1:4 decrease,1: 1 no change,3: 4 decrease,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,2,6,yes,no,no
MTH-1983-007,JAMB,Mathematics,Past Questions,,medium,1983,,"P Q
60O
45O
8 cm
S R
In the above figure PQR = 600, QPR = 900, PRS = 900,
RPS = 450, QR= 8cm. Determine PS",,23cm,46cm,2cm,86cm,8cm,,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,2,7,yes,no,no
MTH-1983-008,JAMB,Mathematics,Past Questions,,medium,1983,,"Given that cos z = L, where z is an acute angle find an
expression for Co +Z - cosecz
sec Z + tan z",,l - L,L2-−L2,"-L-−L
1+L L2+L-1 (C1+L) +−L",L−.,"L-(L2-1)
(L1+L2) +−L2 1+ 1 - L2 + 1 - L2",,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,2,8,yes,no,no
MTH-1983-009,JAMB,Mathematics,Past Questions,,medium,1983,,"If 0.0000152 x 0.00042 = A x 108, where
1 £ A < 10, find A and",,"A= 9, B = 6`.38","A= 6.38, B = -9","A= 6.38, B = 9","A= 6.38, B = -1","A= 6.38, B = 1",,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,2,9,yes,no,no
MTH-1983-010,JAMB,Mathematics,Past Questions,,medium,1983,,"If x + 2 and x – 1 are factors of the expressions lx +
2kx2 + 24, find the values of l and k",,"l = -6, k = -9","l= -2, k = 1","l =-2, k = -1","l = 0, k = 1","l = 6, k = 0",,,mathematics|jamb|1983|pdf|needs-answer,past-question,draft,C:\Users\Dell\Downloads\JAMB Mathematics Past Questions 1983 - 2004.pdf,2,10,yes,no,no
