question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
GOV-0063,JAMB,Government,Political Concepts/Theory,Organs of Government,medium,2025,,The institution of government that interprets laws made by the legislature is,,executive,legislature,judiciary,senators,C,,jamb|2025,past-question,active
GOV-0064,JAMB,Government,Political Concepts/Theory,Citizenship,medium,2025,,Citizenship is best defined as a member of a state who is legally and constitutionally,,recognised,established,associated,united,A,,jamb|2025,past-question,active
GOV-0065,JAMB,Government,Political Concepts/Theory,Ideologies,medium,2025,,Fascism and Nazism are ideologies that were promoted respectively by,,Mein Kampf and Hitler,Mussolini and Hitler,Mikarno and Tito,Fletcher and Lenin,B,,jamb|2025,past-question,active
GOV-0066,JAMB,Government,Political Concepts/Theory,Political Participation,medium,2025,,The process by which citizens get involved in the political activities and decision-making of their country is,,political participation,political orientation,participant observation,political socialisation,A,,jamb|2025,past-question,active
GOV-0067,JAMB,Government,Constitutional Government,1979 Constitution,medium,2025,,The age qualifications of members of the Senate and House of Representatives under the 1979 constitution were,,30 and 21 years respectively,35 and 30 years,30 and 35 years respectively,21 and 30 years respectively,A,,jamb|2025,past-question,active
GOV-0068,JAMB,Government,Nigerian Government/Politics,Military Rule,medium,2025,,The War Against Indiscipline campaign was launched by the military regime of,,General Olusegun Obasanjo,General Sani Abacha,General Muhammadu Buhari,General Ibrahim Babangida,C,,jamb|2025,past-question,active
GOV-0069,JAMB,Government,Constitutional Government,Legislature,medium,2025,,A bicameral legislature is made up of,,two chambers,three chambers,one chamber,four chambers,A,,jamb|2025,past-question,active
GOV-0070,JAMB,Government,Comparative Government,Colonial Systems,medium,2025,,Colonial policy of assimilation was introduced in Africa by the,,Portuguese,British,Germans,French,D,,jamb|2025,past-question,active
GOV-0071,JAMB,Government,Comparative Government,Systems of Government,medium,2025,,A confederal system of governance is characterised by,,strong central authority,independent regional governments,unitary state control,direct democracy,B,,jamb|2025,past-question,active
GOV-0072,JAMB,Government,Political Parties/Pressure Groups,Political Parties,medium,2025,,Registration of political parties is the responsibility of the,,Electoral Commission,Corporate Affairs Commission,Public Complaints Commission,Civil Service Commission,A,,jamb|2025,past-question,active
GOV-0073,JAMB,Government,Political Concepts/Theory,Public Opinion,medium,2025,,Government can ascertain feedback on public policy through,,mobilisation,electioneering,public opinion,political party,C,,jamb|2025,past-question,active
GOV-0074,JAMB,Government,Political Concepts/Theory,Citizenship,medium,2025,,Which of the following is not an obligation of a citizen?,,Payment of taxes,Loyalty to the state,Obedience to law,Contesting an election,D,,jamb|2025,past-question,active
GOV-0075,JAMB,Government,Political Concepts/Theory,Sovereignty,medium,2025,,A sovereign state is one,,which sovereignty is vested in the military,whose government decisions are made independent,where its citizens can speak without fear or favour,whose constitution could only be changed by the military government,B,,jamb|2025,past-question,active
GOV-0076,JAMB,Government,Electoral Systems,Elections,medium,2025,,An election that allows political parties to choose a flag bearer for general election is called,,bye-election,party convention,party primary,off season,C,,jamb|2025,past-question,active
GOV-0077,JAMB,Government,Nigerian Government/Politics,Colonial History,medium,2025,,The British company granted the charter to rule and administer the northern area before direct colonial rule was known as,,Royal Crown Company,Britain Royal Company,Royal Niger Company,British Nigeria Company,C,,jamb|2025,past-question,active
GOV-0078,JAMB,Government,Nigerian Government/Politics,Federalism History,medium,2025,,Nigeria became a federation of nineteen states in,,1989,1979,1991,1976,D,,jamb|2025,past-question,active
GOV-0079,JAMB,Government,Local Government,Structure,medium,2025,,The head of the legislative arm at the third tier of government in Nigeria is the,,Speaker,President,Chairman,Leader,D,,jamb|2025,past-question,active
GOV-0080,JAMB,Government,Political Concepts/Theory,Democracy,medium,2025,,Political power in a democracy is derived from the,,traditional rulers,people,institution,barrel of the gun,B,,jamb|2025,past-question,active
GOV-0081,JAMB,Government,International Relations,Commonwealth,medium,2025,,The Secretariat of the Commonwealth of Nations is located in,,New York,London,Paris,Canada,B,,jamb|2025,past-question,active
GOV-0082,JAMB,Government,International Relations,ECOWAS,medium,2025,,"By composition, ECOWAS can be regarded as a",,Continental organisation,Global organisation,Bi-lateral organisation,Regional organisation,D,,jamb|2025,past-question,active
GOV-0083,JAMB,Government,Nigerian Government/Politics,Civil Service,medium,2025,,"The recruitment, promotion and discipline of civil servants is a key function of the",,National Directorate of Employment,Ministry of Labour and Employment,Federal Civil Service Commission,Public Complaint Commission,C,,jamb|2025,past-question,active
GOV-0084,JAMB,Government,International Relations,African Union,medium,2025,,The umbrella body for relations among all African countries is,,Commonwealth,ECOWAS,UNO,AU,D,,jamb|2025,past-question,active
GOV-0085,JAMB,Government,Political Parties/Pressure Groups,Party Systems,medium,2025,,Party coalition is common in a,,zero party system,two-party system,one-party system,multi-party system,D,,jamb|2025,past-question,active
GOV-0086,JAMB,Government,Nigerian Government/Politics,Military Rule,medium,2025,,The Babangida transition programme to civil rule officially started in,,1987,1983,1985,1992,A,,jamb|2025,past-question,active
GOV-0087,JAMB,Government,Constitutional Government,Systems of Government,medium,2025,,A system of government that allows executive powers to be vested in one person,,Federal System,Parliamentary System,Cabinet System,Presidential System,D,,jamb|2025,past-question,active
GOV-0088,JAMB,Government,Nigerian Government/Politics,Public Corporations,medium,2025,,Public corporations are funded by the,,government,civil society,citizens,political appointees,A,,jamb|2025,past-question,active
GOV-0089,JAMB,Government,International Relations,OAU,medium,2025,,The Casablanca group in the formation of the OAU was known as,,radicalism,moderation,conservatism,revolutionalism,A,,jamb|2025,past-question,active
GOV-0090,JAMB,Government,Political Concepts/Theory,Public Opinion,medium,2025,,Public opinion is difficult to measure because it can be,,transferred,communicated,manipulated,expressed,C,,jamb|2025,past-question,active
GOV-0091,JAMB,Government,Political Parties/Pressure Groups,Pressure Groups,medium,2025,,"When a pressure group is made up of people of the same profession, it is called",,a promotional group,an occupation group,an interest group,an associational group,B,,jamb|2025,past-question,active
GOV-0092,JAMB,Government,Political Concepts/Theory,Rule of Law,medium,2025,,The application of the rule of law can be hindered by,,age of an individual,free press,religion of an individual,diplomatic immunity,D,,jamb|2025,past-question,active
