question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
LIT-0003,JAMB,Literature,Prose,Wuthering Heights,medium,2025,,This question is based on Emily Brontë's Wuthering Heights. The overriding depiction of mystery and terror in the novel accounts for its classification as a,,neo-classical novel,gothic novel,satiric fiction,science fiction,B,"Wuthering Heights is classified as a Gothic novel because it prominently features elements designed to evoke mystery, suspense and fear.",jamb|2025,past-question,active
LIT-0004,JAMB,Literature,Drama,The Lion and the Jewel,easy,2025,,This question is based on Wole Soyinka's The Lion and the Jewel. The chief of Ilujinle village is,,Lakunle,Baroka,Sadiku,Sidi,B,"Baroka is the Bale (the traditional chief, or ""Lion"") of Ilujinle village.",jamb|2025,past-question,active
LIT-0005,JAMB,Literature,Drama,Look Back in Anger,medium,2025,,This question is based on John Osborne's Look Back in Anger. Jimmy's feeling about Alison's upper-class status is that of,,indifference,adoration,resentment,admiration,C,"Jimmy Porter, a working-class intellectual, feels marginalised by the British establishment, and this fuels his resentment of Alison's upper-class background.",jamb|2025,past-question,active
LIT-0006,JAMB,Literature,Poetry,,medium,2025,,"This question is based on Literary Appreciation. A thousand explosions in the belly of the earth, Bleeding rigs, bursting pipes, The oil flows, From the earth's sickbed, Because, The oil only flows, When the earth bleeds. The subject matter of the excerpt above is",,despoliation,contestation,unification,revolution,A,"The excerpt describes the violent impact of oil extraction on the environment, using phrases like ""a thousand explosions,"" ""bleeding rigs"" and ""bursting pipes.""",jamb|2025,past-question,active
LIT-0007,JAMB,Literature,Poetry,Poem: Caged Bird (Maya Angelou),medium,2025,,"The subject matter of Angelou's ""Caged Bird"" is",,the abolition of slavery and the freedom of caged people,the limitation of racially discriminated African Americans,segregation and racial discrimination,the colonial invasion and slave trade,C,The poem uses the metaphor of a caged bird to represent the lived experience of Black Americans under segregation and racial discrimination.,jamb|2025,past-question,active
LIT-0008,JAMB,Literature,Poetry,Poem: The Journey of the Magi (T.S. Eliot),medium,2025,,"The experience of the persona in Eliot's ""The Journey of the Magi"" is",,challenging but fulfilling,rough and hopeless,smooth and exciting,tortuous and frustrating,A,"The persona (one of the Magi) describes the journey as physically gruelling, recalling ""the very dead of winter"" and hostile cities, yet it is ultimately fulfilling.",jamb|2025,past-question,active
LIT-0009,JAMB,Literature,Poetry,Poem: The Good Morrow (John Donne),medium,2025,,"Beauty in Donne's ""The Good Morrow"" represents the poet's persona's",,friend,lover,niece,mother,B,"In this metaphysical poem, Donne celebrates a ""waking"" into a mature, spiritual love with his lover.",jamb|2025,past-question,active
LIT-0010,JAMB,Literature,Prose,Wuthering Heights,medium,2025,,"This question is based on Emily Bronte's Wuthering Heights. ""Take my colt, gipsy, then! said young Earnshaw...and wheedle my father out of all he has"" The statement above exemplifies",,premonition,point of view,flashback,epistolary,C,"This quote occurs during the second half of the novel when Nelly Dean narrates, in flashback, the childhood history of Hindley and Heathcliff.",jamb|2025,past-question,active
LIT-0011,JAMB,Literature,Poetry,Poem: Snake (D.H. Lawrence),medium,2025,,"He lifted his head from his drinking as cattles do, And looked at me vaguely, as drinking cattles do, And flickered his two-forked tongue from his lips, and mused a moment (D.H. Lawrence) The poetic object in the extract above is",,an elephant,a bird,a man,a snake,D,"The text mentions the object ""flickered his two-forked tongue from his lips,"" a distinguishing feature of a snake.",jamb|2025,past-question,active
LIT-0012,JAMB,Literature,Prose,Second Class Citizen,medium,2025,,This question is based on Buchi Emecheta's Second Class Citizen. The narrative of the novel centres around,,Ike,Francis,Mrs Ofili,Adah,D,"The novel is semi-autobiographical and centres around Adah, a Nigerian woman.",jamb|2025,past-question,active
LIT-0013,JAMB,Literature,Literary Devices/Terminology,,easy,2025,,Another form of literature that often employs verse is,,parable,fable,drama,prose,C,"While prose is the language of ordinary speech, drama (plays) frequently employs verse; Shakespeare's plays, for example, are primarily written in blank verse.",jamb|2025,past-question,active
LIT-0014,JAMB,Literature,Literary Devices/Terminology,,easy,2025,,An understatement for the purpose of emphasis is known as,,panegyric,hyperbole,climax,litotes,D,Litotes is a figure of speech that uses an understatement for emphasis by expressing an affirmative through the negation of its contrary.,jamb|2025,past-question,active
LIT-0015,JAMB,Literature,Prose,Wuthering Heights,medium,2025,,"This question is based on Emily Bronte's Wuthering Heights. ""I'm trying to settle how I shall pay Hindley back. I don't care how long I will wait, if I can only do it at last. I hope he will not die before I do!"" Who made the statement?",,Heathcliff,Edgar,Lockwood,Isabella,A,"The speaker is Heathcliff, expressing his lifelong obsession with getting revenge on Hindley Earnshaw.",jamb|2025,past-question,active
LIT-0016,JAMB,Literature,Literary Devices/Terminology,,easy,2025,,This question is based on Literary Principles. The choice of words used by a writer in a literary work is called,,cliche,idiom,diction,tone,C,"By definition, diction refers to the specific choice and use of words and phrases by a writer in a literary work.",jamb|2025,past-question,active
LIT-0017,JAMB,Literature,Drama,The Lion and the Jewel,medium,2025,,"This question is based on Wole Soyinka's The Lion and the Jewel. ""I was there when it happened to your father"" The line above is in reference to",,the wrestler's impotency,Lakunle's impotency,the traveler's impotency,Baroka's impotency,D,"In the play, this line is a pivotal part of Baroka's cunning plan to win over Sidi, the village belle.",jamb|2025,past-question,active
LIT-0018,JAMB,Literature,Poetry,,medium,2025,,"This question is based on Literary Appreciation. The sunset steals our youth, We must depart, We must follow the trail of the killer-bird, Or else sleep the sleep of terror. The excerpt above portrays the theme of",,mortality,nature,nurture,affection,A,"The ""sunset"" is a classic literary metaphor for the end of life or old age.",jamb|2025,past-question,active
LIT-0019,JAMB,Literature,Poetry,Poem: Black Woman (Léopold Sédar Senghor),medium,2025,,"The spatial setting of Senghor's ""Black Woman"" is",,Asia,Africa,India,Europe,B,"Senghor was a pioneer of the Négritude movement, and this poem is a celebration of African identity and heritage.",jamb|2025,past-question,active
LIT-0020,JAMB,Literature,Literary Devices/Terminology,,easy,2025,,This question is based on General Literary Principles. A multifaceted character in literature is regarded as,,flat character,round character,comic character,lucid character,B,A round character is a complex and multifaceted character that possesses a depth of personality and contradictory traits.,jamb|2025,past-question,active
LIT-0021,JAMB,Literature,Drama,Look Back in Anger,medium,2025,,"This question is based on John Osborne's Look Back in Anger. Jimmy's first love, who is ten years older than him, is",,Miss Drury,Helena,Alison,Madeline,D,"Madeline is described as Jimmy Porter's first love, who was ten years older than him.",jamb|2025,past-question,active
LIT-0022,JAMB,Literature,Drama,The Lion and the Jewel,medium,2025,,"This question is based on Wole Soyinka's The Lion and the Jewel. ""No one? Do you mean there was no one To bar unwanted strangers from my privacy?"" Who made this statement?",,Lakunle,Baroka,Sidi,Sadiku,B,"This line is spoken by Baroka, the Bale (village head).",jamb|2025,past-question,active
