question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
ACC-0003,JAMB,Accounting,Financial Statements,Dividends,medium,2025,,"The directors of Olu Ltd. recommended a dividend of 10% on 1,000,000 ordinary share capital of GHC 2.00 each. The amount of dividend declared is",,"GHC 10,000","GHC 200,000","GHC 100,000","GHC 20,000",C,,jamb|2025,past-question,active
ACC-0004,JAMB,Accounting,Depreciation,Disposal of Assets,hard,2025,,"A computer set bought for N150,000 was disposed for N45,000 after some years of use. The profit on disposal was N7,500. Accumulated depreciation at the time of disposal was",,"N112,500","N105,000","N97,500","N37,500",C,,jamb|2025,past-question,active
ACC-0005,JAMB,Accounting,Company Accounts,Authorised Capital,easy,2025,,Which of the following terms is not used to describe the total amount stated in the memorandum of association approved by the Registrar of Companies?,,Registered capital,Issued capital,Authorised capital,Nominal capital,B,,jamb|2025,past-question,active
ACC-0006,JAMB,Accounting,Company Accounts,Share Issue,easy,2025,,Shares issued below the nominal value are referred to as shares at,,discount,face value,cumulative value,premium,A,,jamb|2025,past-question,active
ACC-0007,JAMB,Accounting,Basic Accounting Concepts,Drawings,easy,2025,,Sulah took two textile materials worth GHC 500 from his business for his children's use. This would be treated as,,drawings.,loan.,stock.,sales,A,,jamb|2025,past-question,active
ACC-0008,JAMB,Accounting,Financial Statements,Profit and Loss Account,easy,2025,,Discounts received are,,credited to the Profit and Loss Account,credited to the trading account,credited to the Appropriation Account,debited to the Profit and Loss Account,A,,jamb|2025,past-question,active
ACC-0009,JAMB,Accounting,Public Sector Accounting,Budgeting,medium,2025,,Below-the-line item in public sector accounting means such an item is,,less than what is budgeted for,not budgeted for in the current fiscal year,to be carried forward to the next fiscal year,budgeted for in the current fiscal year,B,,jamb|2025,past-question,active
ACC-0010,JAMB,Accounting,Manufacturing Accounts,Prime Cost,medium,2025,,Which of the following is not part of prime cost of production?,,depreciation of factory equipment,direct expenses,cost raw materials,carriage on raw materials,A,,jamb|2025,past-question,active
ACC-0011,JAMB,Accounting,Public Sector Accounting,Government Accounting Features,easy,2025,,A feature of government accounting is that the,,Accounts are prepared on an accrual basis.,Accounts are prepared on a cash basis.,fixed assets are depreciated.,objective is to report profit made by the government.,B,,jamb|2025,past-question,active
ACC-0012,JAMB,Accounting,Cash Flow/Bank Reconciliation,Bank Overdraft,medium,2025,,"A bank statement shows an overdraft of GHC190,000. Kofi, a debtor, paid GHC400,000 into the account. The new bank balance is",,"GHC210,000 overdrawn","GHC590,000 overdrawn","GHC590,000","GHC210,000",D,,jamb|2025,past-question,active
ACC-0013,JAMB,Accounting,Financial Statements,Receipts and Payments Account,hard,2025,,"Use the following information to answer questions 11 and 12. Receipts and Payments Account: 31st December, 2016 (see referenced ledger data). The total income received for the year is",,"N1,980","N1,690","N2,640","N2,180",C,,jamb|2025,past-question,active
ACC-0014,JAMB,Accounting,Financial Statements,Receipts and Payments Account,hard,2025,,"Use the following information to answer questions 11 and 12. Receipts and Payments Account: 31st December, 2016 (see referenced ledger data). The surplus for the year is",,"N1,970","N1,650","N1,330","N1,890",B,,jamb|2025,past-question,active
ACC-0015,JAMB,Accounting,Cash Flow/Bank Reconciliation,Capital vs Revenue Receipts,easy,2025,,Capital receipt is collected,,from trade debtors,on sales of stock in trade,from trading activities,on sales of motor vehicles,D,,jamb|2025,past-question,active
ACC-0016,JAMB,Accounting,Manufacturing Accounts,Prime Cost,medium,2025,,Which of the following is a component of prime cost?,,Factory rent,Depreciation,Factory electricity,Royalty,D,,jamb|2025,past-question,active
ACC-0017,JAMB,Accounting,Basic Accounting Concepts,Realisation Concept,medium,2025,,"The accounting principle that states that, in the preparation of an accounting statement, revenue is recognized as soon as goods are passed on to the customer is the",,matching concept,materiality concept,consistency concept,realization concept,D,,jamb|2025,past-question,active
ACC-0018,JAMB,Accounting,Manufacturing Accounts,Departmental Accounts,easy,2025,,"In departmental accounts, rent is apportioned on the basis of",,volume of sales,floor area occupied,purchases,number of personnel in each department,B,,jamb|2025,past-question,active
ACC-0019,JAMB,Accounting,Public Sector Accounting,Definitions,easy,2025,,The process of recording the financial transactions of government is,,cost accounting,management accounting,public sector accounting,financial accounting,C,,jamb|2025,past-question,active
ACC-0020,JAMB,Accounting,Basic Accounting Concepts,Prudence Concept,medium,2025,,A business should not lay claim to any profit before it is earned. This is in accordance with the,,prudence concept,going concern concept,consistency concept,dual aspect concept,A,,jamb|2025,past-question,active
ACC-0021,JAMB,Accounting,Ledger and Journal Entries,Errors and Trial Balance,medium,2025,,Which of the following errors affects the agreement of a Trial Balance?,,Posting the Purchase of a van to the debit side of the purchases account,Failure to enter sales in the books,Wrong addition in the sales account,Crediting a purchase to A. Tambi's account instead of F. Tambi's account,C,,jamb|2025,past-question,active
ACC-0022,JAMB,Accounting,Cash Flow/Bank Reconciliation,Imprest System,easy,2025,,Which of the following is an advantage of the imprest system?,,making high profits in the business,Rewarding the imprest holder,Meeting small items of expenditure,Easy preparation of the final accounts,C,,jamb|2025,past-question,active
