question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
CHM-0003,JAMB,Chemistry,Chemical Bonding,Lone Pairs,medium,2025,,The molecule with the highest number of lone pair of electrons is,,\(H_2O\),\(NH_3\),\(CH_4\),\(CO_2\),D,,jamb|2025,past-question,active
CHM-0004,JAMB,Chemistry,Organic Chemistry,Petroleum,medium,2025,,The composition of petroleum varies because it is a,,hydrocarbon,liquid,mixture,natural resource,C,,jamb|2025,past-question,active
CHM-0005,JAMB,Chemistry,Organic Chemistry,Esterification,medium,2025,,"In the table above, the two compounds that will combine in the presence of an acid-catalyzed compound, V is",,I and IV,III and IV,I and II,II and III,A,,jamb|2025,past-question,active
CHM-0006,JAMB,Chemistry,Gases,Alkaline Gases,medium,2025,,An example of an alkaline gas is,,HCl,\(N_2\),\(NH_3\),\(NO_2\),C,,jamb|2025,past-question,active
CHM-0007,JAMB,Chemistry,Solutions and Mixtures,Suspensions and Dispersions,medium,2025,,The dusty and sand particles present in the air is an example of,,a suspension,a dispersion,an emulsion,a saturated solution,A,,jamb|2025,past-question,active
CHM-0008,JAMB,Chemistry,Transition Metals,Catalysis,medium,2025,,The property of metal that makes it suitable as a catalyst is,,filled f-orbital,partially filled d-orbitals,partially filled f-orbital,filled d-orbital,B,,jamb|2025,past-question,active
CHM-0009,JAMB,Chemistry,Thermodynamics,Spontaneity of Reactions,medium,2025,,"When \(\Delta H\) is positive and small, and \(\Delta S\) is positive and large, the reaction will be",,Non-spontaneous,favour forward reaction only,favour backward reaction only,spontaneous,D,,jamb|2025,past-question,active
CHM-0010,JAMB,Chemistry,Acids/Bases/Salts,pH Calculations,medium,2025,,Calculate the pH of 0.001M \(KOH\) solution.,,11,14,12,3,A,,jamb|2025,past-question,active
CHM-0011,JAMB,Chemistry,Acids/Bases/Salts,Organic Acids,medium,2025,,The acid used in making baking soda and soft drink is,,tartaric acid,fatty acid,boric acid,citric acid,A,,jamb|2025,past-question,active
CHM-0012,JAMB,Chemistry,Chemical Equilibrium,Le Chatelier's Principle,medium,2025,,"\(NH_3(g) + HCl(g) \rightarrow NH_4Cl(g)\)

In the reaction above, increase in pressure will",,lower the equilibrium constant,favour the product,favour the reactant,increase the equilibrium constant,B,,jamb|2025,past-question,active
CHM-0013,JAMB,Chemistry,Organic Chemistry,Amines,medium,2025,,The compound \(CH_3CH(NH_2)CH_2CH_2CH_3\) is an example of a,,primary amine,tertiary amine,quaternary amine,secondary amine,A,,jamb|2025,past-question,active
CHM-0014,JAMB,Chemistry,Gases,Nitrogen and Compounds,medium,2025,,"Nitrogen, a component of air is used for",,production of cooling agent,production of margarine,production of \(HNO_3\),manufacturing of oil,C,,jamb|2025,past-question,active
CHM-0015,JAMB,Chemistry,Redox Reactions,Oxidation and Reduction,medium,2025,,"\(2Na + Cl_2 \rightarrow 2NaCl\)

In the reaction above, the specie that undergoes reduction is",,Na,NaCl,\(Cl^-\),\(Cl_2\),D,,jamb|2025,past-question,active
CHM-0016,JAMB,Chemistry,States of Matter,Sublimation,medium,2025,,The sublimation of solid to gas involves,,energy absorption,vapourization,melting,osmotic diffusion,A,,jamb|2025,past-question,active
CHM-0017,JAMB,Chemistry,Gases,Nitrogen Compounds,medium,2025,,The products of the thermal decomposition of ammonium trioxonitrate(v) are,,\(N_2O\) and \(H_2O\),\(NO_2\) and \(H_2O\),\(N_2O\) and \(O_2\),\(NO_3\) and \(H_2O\),A,,jamb|2025,past-question,active
CHM-0018,JAMB,Chemistry,Periodicity,Group 1 Metals,medium,2025,,"\(2X + 2HCl \rightarrow 2XCl + H_2\)

In the equation above, X is",,K,Mg,Ca,Ba,A,,jamb|2025,past-question,active
CHM-0019,JAMB,Chemistry,Organic Chemistry,Carboxylic Acids,medium,2025,,Alkanoic acids have higher boiling points than alkanols because,,alkanoic acids are more volatile than alkanols,alkanols are more polar than alkanoic acids,alkanoic acids are larger molecules,alkanoic acids form stronger hydrogen bonds,D,,jamb|2025,past-question,active
CHM-0020,JAMB,Chemistry,Chemical Bonding,Intermolecular Forces,medium,2025,,Water drops are spherical in shape because of,,polarity,viscocity,density,surface tension,D,,jamb|2025,past-question,active
CHM-0021,JAMB,Chemistry,Electrochemistry,Electrolysis,medium,2025,,"In the electrolysis of brine using neutral electrode, which ion is discharged at the anode?",,\(2H^+\),\(Na^+\),\(Cl^-\),\(OH^-\),C,,jamb|2025,past-question,active
CHM-0022,JAMB,Chemistry,Electrochemistry,Faraday's Laws,medium,2025,,The time required to deposit 4.5g of copper from \(CuSO_4\) solution by passing a current of 2.5 Amperes is (Cu = 64g ; 1F = 96500C/mol),,2714 sec,2527 sec,5428 sec,6785 sec,C,\(Q = It\); mass \(4.5g \times \frac{2 \times 96500}{64} = 13570.3C\); \(t = \frac{13570.3}{2.5} \approx 5428\) sec.,jamb|2025,past-question,active
CHM-0023,JAMB,Chemistry,Periodicity,Diagonal Relationship,medium,2025,,Which of the following pairs of elements will exhibit diagonal relationship?,,Be and Si,Na and Be,Li and Al,B and Si,D,,jamb|2025,past-question,active
CHM-0024,JAMB,Chemistry,Environmental Chemistry,Water Pollution,medium,2025,,The following is not a water pollutant?,,warm water affluent,inorganic fertilizers,oxygen gas,biodegradable waste,C,,jamb|2025,past-question,active
