question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
GEO-0043,JAMB,Geography,Economic Geography,Industry Classification,medium,2025,,Industries are broadly classified into,,"primary, secondary, and tertiary","fishing, mining, and food processing","mining, furniture making, and cocoa processing","primary, secondary, and manufacturing",A,,jamb|2025,past-question,active
GEO-0044,JAMB,Geography,Economic Geography,International Trade,medium,2025,,Great Britain and Germany are trading partners of West African countries from,,South America,The Far East,West Europe,North America,C,,jamb|2025,past-question,active
GEO-0045,JAMB,Geography,Population/Settlement,Urbanization,medium,2025,,The most significant factor which accounts for the rapid growth in the population of the capital cities of West Africa is,,political rallies,sport events,rural-urban migration,religious tourism,C,,jamb|2025,past-question,active
GEO-0046,JAMB,Geography,Climate,Adiabatic Lapse Rate,medium,2025,,What is the temperature around an aeroplane flying at an altitude of \(4000\) metres if the temperature on the earth surface is \(40\) ºC?,,66 °C,14 °C,26 °C,12 °C,B,,jamb|2025,past-question,active
GEO-0047,JAMB,Geography,Physical Geography,Coastal Processes,medium,2025,,Which of the following wave actions is a process of erosion,,saltation,traction,hydraulic,suspension,C,,jamb|2025,past-question,active
GEO-0048,JAMB,Geography,Economic Geography,Tourism,medium,2025,,Which of the following factors is a major boost to tourism?,,Adequate publicity about natural scenery,Higher dependency ratio of the population,Variation in mode of transportation,Variation in mode of transportation,A,,jamb|2025,past-question,active
GEO-0049,JAMB,Geography,Physical Geography,Soils,medium,2025,,"The heavy, dark soil associated with floodable valley bottoms is a",,lateritic soil,hydromorphic soil,ferrallitic soil,podzolic soil,B,,jamb|2025,past-question,active
GEO-0050,JAMB,Geography,Human Geography,Urban Environmental Problems,medium,2025,,Urban floods are mainly caused by,,blockage of drains and waterways,clearance of vegetation on farmlands,construction of dams and barrages,establishment of shelter belts,A,,jamb|2025,past-question,active
GEO-0051,JAMB,Geography,Physical Geography,Desert Landforms,medium,2025,,A feature produced by water in desert areas is,,barchans,yardangs,wadis,zeugens,C,,jamb|2025,past-question,active
GEO-0052,JAMB,Geography,Population/Settlement,Urban Characteristics,medium,2025,,Which of the following are characteristics of most large cities? They I. have large populations II. are administrative centers III. are religious centers IV. are commercial centers,,I and III only,II and III only,I and IV only,II and IV only,C,,jamb|2025,past-question,active
GEO-0053,JAMB,Geography,Physical Geography,Tectonic Landforms,medium,2025,,A block mountain is formed as a result of,,differential erosion,faulting,fissure,vulcanicity,B,,jamb|2025,past-question,active
GEO-0054,JAMB,Geography,Map Reading,Latitude and Longitude,medium,2025,,Which of the following is an important line of longitude?,,Arctic Circle,Prime Meridian,Antarctic Circle,Tropic of Cancer,B,,jamb|2025,past-question,active
GEO-0055,JAMB,Geography,Climate,Adiabatic Lapse Rate,hard,2025,,"The temperature reading at the peak of a volcano is \(6\)ºC. What will be the temperature at the foot of the volcano, which is \(3000\) metres from the surrounding low land?",,25.5°C,13.5°C,23.5°C,5.5°C,A,,jamb|2025,past-question,active
GEO-0056,JAMB,Geography,Physical Geography,Weathering,medium,2025,,Which of the following is not a process of chemical weathering?,,Frost action,Hydrolysis,Oxidation,Carbonation,A,,jamb|2025,past-question,active
GEO-0057,JAMB,Geography,Physical Geography,Earth Movements,medium,2025,,Which of the following distinguishes rotation from revolution?,,"Revolution causes day and night, while rotation causes season",The earth rotates on its axis while it revolves round the sun on an elliptical orbit,"A complete revolution takes 24 hours, while rotation marks a year","Rotation causes variation in the lengths of day and night, while revolution causes rising and falling of tides",B,,jamb|2025,past-question,active
GEO-0058,JAMB,Geography,Economic Geography,Agriculture,medium,2025,,Which of the following is not a plantation crop?,,Oil palm,Rubber,Rye,Cocoa,C,,jamb|2025,past-question,active
GEO-0059,JAMB,Geography,Population/Settlement,Rural Settlement,medium,2025,,Which of the following best describes the characteristics of a rural settlement,,large area coverage,secondary activities,primary activities,tertiary activities,C,,jamb|2025,past-question,active
GEO-0060,JAMB,Geography,Physical Geography,Earth Movements,medium,2025,,"On March 21 each year, all towns in the southern hemisphere experience?",,longer period of twilight,complete daylight for 14hours,equal length of day and night,partial darkness,C,,jamb|2025,past-question,active
GEO-0061,JAMB,Geography,Human Geography,Environmental Problems,medium,2025,,Which of the following is a major environmental problem in heavily industrialized regions?,,Accelerated erosion,Frost damage,Water pollution,Acid rain,D,,jamb|2025,past-question,active
GEO-0062,JAMB,Geography,Physical Geography,Desert Landforms,medium,2025,,Which of the following is a wind-deposited landform?,,Loess,Yardang,Rock pedestal,Deflation hollow,A,,jamb|2025,past-question,active
GEO-0063,JAMB,Geography,Physical Geography,Natural Vegetation,medium,2025,,The vegetation of the warm Temperate Eastern Margin is characterized by,,evergreen shrubs and thickets,mixed coniferous and broad-leaved evergreen forests,mixed deciduous and coniferous forests,mixed tropical rainforests and monsoonal forests,C,,jamb|2025,past-question,active
GEO-0064,JAMB,Geography,Population/Settlement,Settlement Classification,medium,2025,,Which of the following criteria is used to classify settlements into rural or urban?,,Location,Age,Function,Site,C,,jamb|2025,past-question,active
GEO-0065,JAMB,Geography,Economic Geography,Industrial Regions,medium,2025,,The industrial belt of Japan produces,,"ships, electronics, and motor vehicles","warships, ammunitions, and building materials","fertilizers, pesticides, and combined harvesters","leather goods, plastic, and pharmaceutical products",A,,jamb|2025,past-question,active
GEO-0066,JAMB,Geography,Physical Geography,River Landforms,medium,2025,,Which of the following features is associated with the upper course of a river?,,Delta,Levee,Meander,Waterfall,D,,jamb|2025,past-question,active
GEO-0067,JAMB,Geography,Economic Geography,Energy Resources,medium,2025,,More Hydroelectric Power projects should be constructed in Tropical Africa because,,skilled labour is scarce,there are absence of waterfalls on rivers,there is an increasing demand for power,there is scanty rainfall,C,,jamb|2025,past-question,active
GEO-0068,JAMB,Geography,Physical Geography,Tectonic Landforms,medium,2025,,Which of the following landforms is associated with parallel faulting?,,Gorge,Inselberg,Dyke,Rift valley,D,,jamb|2025,past-question,active
GEO-0069,JAMB,Geography,Physical Geography,Rocks and Groundwater,medium,2025,,The rock which has the capacity to retain underground water is?,,compact,permeable,crystalline,impermeable,B,,jamb|2025,past-question,active
GEO-0070,JAMB,Geography,Population/Settlement,Population Density,medium,2025,,"What is the population density of a country with a total population of \(140,000,000\) and a total land area of \(500,000\) km\(^2\)?",,200 persons per km\(^2\),350 persons per km\(^2\),280 persons per km\(^2\),500 persons per km\(^2\),C,,jamb|2025,past-question,active
GEO-0071,JAMB,Geography,Population/Settlement,Migration,medium,2025,,The most common form of migration experienced in countries of Tropical Africa is.,,urban-urban migration,rural-urban migration,rural-rural migration,urban-rural migration,B,,jamb|2025,past-question,active
