question_id,exam_type,subject,topic,subtopic,difficulty,year,passage_id,question_text,image_url,option_a,option_b,option_c,option_d,correct_option,explanation,tags,source,status
COM-0003,JAMB,Commerce,Trade/Commerce Basics,Classification of Goods,medium,2025,,Goods are usually classified into,,saleable and non saleable goods,inferior and superior goods,luxurious and essential goods,producer and consumer goods,D,,jamb|2025,past-question,active
COM-0004,JAMB,Commerce,Business Organization,Public Enterprises,medium,2025,,The transfer of ownership of government business to individuals is,,privatization,commercialisation,deregulation,nationalization,A,,jamb|2025,past-question,active
COM-0005,JAMB,Commerce,Banking and Finance,Postal Services,medium,2025,,The fees charged on postal order by the post office is,,premium,poundage,interest,brokerage,B,,jamb|2025,past-question,active
COM-0006,JAMB,Commerce,Banking and Finance,Cheques,medium,2025,,An open cheque is one,,Which can be cashed over the counter,Which has no name,Which has no specific amount written on it,on which the amount is written only in figures,A,,jamb|2025,past-question,active
COM-0007,JAMB,Commerce,Trade Documents,,medium,2025,,Which of the following is sent by a supplier who does not want to sell on credit?,,Consular invoice,Quotation,Advice note,Proforma invoice,D,,jamb|2025,past-question,active
COM-0008,JAMB,Commerce,Trade/Commerce Basics,Aids to Trade,medium,2025,,Which of the following is not an aid to trade?,,Insurance,Banking,Production,Transport,C,,jamb|2025,past-question,active
COM-0009,JAMB,Commerce,Banking and Finance,Means of Payment,medium,2025,,Which of the following is a means of payment?,,C.I.F,I.O.U,Postal order,Promissory note,C,,jamb|2025,past-question,active
COM-0010,JAMB,Commerce,Office Practice,Basic Accounting,medium,2025,,Turnover of a business is the same as the,,purchases of the business,assets of the business,sales of the business,profit of the business,C,,jamb|2025,past-question,active
COM-0011,JAMB,Commerce,Banking and Finance,Currency,medium,2025,,The reduction of the value of a country's currency in relation to other country's currencies in,,fluctuation,inflation,devaluation,deregulation,C,,jamb|2025,past-question,active
COM-0012,JAMB,Commerce,Insurance,Principles of Insurance,medium,2025,,An insurance principle that prevents a person from insuring what he does not stand to lose financially if the insured risk occurs is,,proximate cause,indemnity,insurable interest,subrogation,C,,jamb|2025,past-question,active
COM-0013,JAMB,Commerce,Trade/Commerce Basics,International Trade,medium,2025,,The exchange of goods for goods in foreign trade is known as?,,Smuggling,Visible trade,Entreport trade,Counter trade,D,,jamb|2025,past-question,active
COM-0014,JAMB,Commerce,Trade/Commerce Basics,Retail Trade,medium,2025,,Small scale retailer continue to survive inspite of serious competition from large scale retailers because they,,do not separate business money from personal money,buy from many manufacturers,Maintain personal relationship with customers,Stock only one line of goods in their stalls,C,,jamb|2025,past-question,active
COM-0015,JAMB,Commerce,Banking and Finance,Financial Institutions,medium,2025,,Which of the following is not a financial institution?,,Insurance company,Stock exchange,Commodity board,Clearing house,C,,jamb|2025,past-question,active
COM-0016,JAMB,Commerce,Trade/Commerce Basics,Definition of Trade,medium,2025,,Trade can be described as,,distribution of goods,purchase of goods and services,buying and selling,production of goods,C,,jamb|2025,past-question,active
COM-0017,JAMB,Commerce,Trade/Commerce Basics,Services,medium,2025,,The job of the police in keeping law and order in the society is,,a direct service,a self service,a commercial services,an indirect service,D,,jamb|2025,past-question,active
COM-0018,JAMB,Commerce,Stock Exchange,Share Dealing,medium,2025,,"When the buyer of an existing share is to receive the pending dividend, the price is",,at par,cum div,at a discount,ex-div,B,,jamb|2025,past-question,active
COM-0019,JAMB,Commerce,Business Law/Contract,Termination of Contract,medium,2025,,"Musa entered into a contract to supply two cows to Aro. Before the agreed date of supply and without the knowledge of the two parties, thieves stole the cows. This is an example of termination of contract by",,default,performance,breach,frustration,D,,jamb|2025,past-question,active
COM-0020,JAMB,Commerce,Business Law/Contract,Elements of Contract,medium,2025,,An agreement that is enforceable in law is,,an offer,a consideration,an acceptance,a contract,D,,jamb|2025,past-question,active
COM-0021,JAMB,Commerce,Business Organization,Company Formation,medium,2025,,"When a public company receives the certificate of incorporation, this implies that",,the company's assets exist separately from those of its members,it can no longer sue or be sued,the company's finds it difficult to raise capital,it can go ahead and start business,D,,jamb|2025,past-question,active
COM-0022,JAMB,Commerce,Insurance,Types of Insurance,medium,2025,,Which of the following types of insurance is taken against claims made by staff who get injured while at work?,,Employers' liability insurance,Fidelity guarantee insurance,Consequential loss insurance,Products liability insurance,A,,jamb|2025,past-question,active
COM-0023,JAMB,Commerce,Insurance,Principles of Insurance,medium,2025,,The principle that applies when Greene and Sunwar Insurance Companies jointly indemnified Fatou for the destruction of her storey building by fire is,,contribution,subrogation,proximate cause,insurable interest,A,,jamb|2025,past-question,active
COM-0024,JAMB,Commerce,Business Organization,Sole Proprietorship,medium,2025,,Which of the following is a source of capital to a sole proprietorship?,,Issue of debenture,Issue of shares,Loans from friends,Admission of new member,C,,jamb|2025,past-question,active
COM-0025,JAMB,Commerce,Trade/Commerce Basics,Hire Purchase,medium,2025,,A contract to take possession of goods on installment,,trade-in-sale,hire purchase,conditional sale,credit sale,B,,jamb|2025,past-question,active
COM-0026,JAMB,Commerce,Trade/Commerce Basics,International Trade,medium,2025,,Which of the following describes the reason for international trade?,,Balance of payment,Absolute cost advantage,Balance of trade,Comparative cost advantage,D,,jamb|2025,past-question,active
COM-0027,JAMB,Commerce,Business Law/Contract,Offer and Acceptance,medium,2025,,A new offer of contract that terminates the original offer is,,an invalid offer,a void contract,a counter offer,quasi contract,C,,jamb|2025,past-question,active
COM-0028,JAMB,Commerce,Business Organization,Public Enterprises,medium,2025,,Public enterprises are financed mainly by,,commercial banks,the shareholders,the world bank,government grants,D,,jamb|2025,past-question,active
COM-0029,JAMB,Commerce,Trade Documents,,medium,2025,,"Which of the following is most appropriate for a ""Cash with Order"" terms of sale?",,Debit note,Consignment note,Credit note,Proforma invoice,D,,jamb|2025,past-question,active
COM-0030,JAMB,Commerce,Business Organization,Sole Proprietorship/Partnership,medium,2025,,Unlimited liability in business implies that the,,risk of the owner is limited only to the amount invested,property of the owners should not be used to secure loans,owners private property can be used to settle the business debts,debts are paid with subventions,C,,jamb|2025,past-question,active
COM-0031,JAMB,Commerce,Stock Exchange,Speculation,medium,2025,,The charge paid by a speculator for non-settlement of his account within the specified period is,,backwardation,brokerage,commission,contango,D,,jamb|2025,past-question,active
COM-0032,JAMB,Commerce,Office Practice,Basic Accounting,medium,2025,,The net profit is calculated as,,sales less purchases,gross profit less expenses,gross profit less purchases,sales less expenses,B,,jamb|2025,past-question,active
COM-0033,JAMB,Commerce,Warehousing,Functions of Wholesaler,medium,2025,,Which of the following functions of the wholesaler helps to stabilize prices,,Provision of credit,Advice to retailers,Warehousing,Financing,C,,jamb|2025,past-question,active
COM-0034,JAMB,Commerce,Marketing/Advertising,Types of Advertising,medium,2025,,Which of the following does not belong to the group?,,Posters,Free samples,Hoarding of goods,Window display,C,,jamb|2025,past-question,active
COM-0035,JAMB,Commerce,Insurance,Insurance Personnel,medium,2025,,The expert who calculates premium for an insurance company is?,,A broker,An assessor,An actuary,An underwriter,C,,jamb|2025,past-question,active
COM-0036,JAMB,Commerce,Taxation,,medium,2025,,Taxes imposed on locally made goods are known as,,ad valorem duties,excise duties,import duties,export drawback,B,,jamb|2025,past-question,active
COM-0037,JAMB,Commerce,Business Organization,Co-operative Societies,medium,2025,,"In which of the following organizations are members entitled to one vote, irrespective of the number of shares held?",,Partnership,Co-operative society,Limited company,Public corporation,B,,jamb|2025,past-question,active
COM-0038,JAMB,Commerce,Trade/Commerce Basics,International Trade,medium,2025,,The difference between a country's imports and exports of goods in a particular year is,,balance of trade,balance of payment,terms of trade,terms of payment,A,,jamb|2025,past-question,active
COM-0039,JAMB,Commerce,Office Practice,Basic Accounting,medium,2025,,Examples of current assets are,,"trade debtors, trade creditors and cash",cash and trade creditors,trade creditors and trade debtors,cash and trade debtors,D,,jamb|2025,past-question,active
COM-0040,JAMB,Commerce,Office Practice,Basic Accounting,medium,2025,,"Ojo bought a bicycle for \(\text{N20,000}\), and repaired it at a cost of \(\text{N5,000}\). He then sold the bicycle for \(\text{N30,000}\). What was his net profit?",,"N5,000","N15,000","N35,000","N25,000",A,,jamb|2025,past-question,active
COM-0041,JAMB,Commerce,Office Practice,Basic Accounting,medium,2025,,"Ojo bought a bicycle for \(\text{N20,000}\), and repaired it at a cost of \(\text{N5,000}\). He then sold the bicycle for \(\text{N30,000}\). What is the percentage of expenses over cost?",,25%,17%,33%,50%,A,,jamb|2025,past-question,active
COM-0042,JAMB,Commerce,Office Practice,Basic Accounting,medium,2025,,"Ojo bought a bicycle for \(\text{N20,000}\), and repaired it at a cost of \(\text{N5,000}\). He then sold the bicycle for \(\text{N30,000}\). What is the cost of goods sold?",,"N20,000","N30,000","N15,000","N25,000",D,,jamb|2025,past-question,active
COM-0043,JAMB,Commerce,Trade/Commerce Basics,Production,medium,2025,,A worker who processes garri is engaged in,,exchange,extracting,constructing,manufacturing,D,,jamb|2025,past-question,active
COM-0044,JAMB,Commerce,Transportation,Shipping Terms,medium,2025,,The charge paid to a ship owner for the unused part of a ship is known as,,penalty,dead freight,dock dues,demurrage,B,,jamb|2025,past-question,active
COM-0045,JAMB,Commerce,Office Practice,Basic Accounting,medium,2025,,"A trader's turnover was \(\text{N36,000}\). Purchases was \(\text{N28,000}\). The opening stock was \(\text{N2,000}\) and the closing stock \(\text{N3,000}\). The average stock is",,"N3,000","N2,500","N5,000","N2,000",B,,jamb|2025,past-question,active
COM-0046,JAMB,Commerce,Banking and Finance,Central Bank,medium,2025,,Which of the following is the clearing house for all the banks in the country?,,The Nigerian Industrial Development Bank,The Central Bank of Nigeria,The Nigerian Bank for Commerce and Industry,The Federal Mortgage Bank of Nigeria,B,,jamb|2025,past-question,active
COM-0047,JAMB,Commerce,Insurance,Marine Insurance,medium,2025,,An insurance policy that covers the body of the ship only is called,,Voyage insurance,Haulage insurance,Hull insurance,Cargo insurance,C,,jamb|2025,past-question,active
COM-0048,JAMB,Commerce,Business Organization,Trade Associations,medium,2025,,Encouraging a high quality of member's products through the circulation of research information is a function of,,Consumers' Association,Manufacturers Association,Employers' Association,Trade Union,B,,jamb|2025,past-question,active
COM-0049,JAMB,Commerce,Transportation,Sea Transport,medium,2025,,Which of the following carries specialized goods?,,Ferry,Liner,Tanker,Tramp,C,,jamb|2025,past-question,active
COM-0050,JAMB,Commerce,Insurance,Types of Insurance,medium,2025,,The transfer of risks already undertaken from one insurance company to another is?,,Re-insurance,Under insurance,Over-insurance,Group insurance,A,,jamb|2025,past-question,active
COM-0051,JAMB,Commerce,Trade/Commerce Basics,Definition of Commerce,medium,2025,,All activities involved in the distribution and exchange of goods and services are referred to as,,market survey,advertising,trade,commerce,D,,jamb|2025,past-question,active
COM-0052,JAMB,Commerce,Marketing/Advertising,Packaging,medium,2025,,The process of making goods attractive and easy to handle is,,labelling,branding,packaging,merchandising,C,,jamb|2025,past-question,active
COM-0053,JAMB,Commerce,Trade/Commerce Basics,Retail Trade,medium,2025,,The selling of articles from place to place on foot is,,barter,itinerant trading,mail order,self service,B,,jamb|2025,past-question,active
COM-0054,JAMB,Commerce,Business Organization,Company Types,medium,2025,,A company which acquires more than 50% voting shares of another company is called?,,a consortium,a cartel,a holding company,a trust,C,,jamb|2025,past-question,active
COM-0055,JAMB,Commerce,Banking and Finance,Bank Loans,medium,2025,,"Mr ojo borrowed N54,000 from a commercial bank and deposited his life insurance certificate with the bank. The certificate deposited serves as",,a current asset,a collateral security,an interest charged,a loan repayment,B,,jamb|2025,past-question,active
COM-0056,JAMB,Commerce,Trade/Commerce Basics,Consumer Protection,medium,2025,,Which of the following legislation aims primarily at protection of consumers?,,Trade Description Act,Partnership Act,Law of Contract,Company's Act,A,,jamb|2025,past-question,active
COM-0057,JAMB,Commerce,Business Organization,Public Enterprises,medium,2025,,A disadvantage of commercialization to consumers is that,,customers do not have value for their money,it reduces loyalty of workers,it promotes inefficiency,prices of products increase,D,,jamb|2025,past-question,active
COM-0058,JAMB,Commerce,Office Practice,Management Functions,medium,2025,,The process of placing the right people in the right position is an organization is,,directing,motivating,planning,staffing,D,,jamb|2025,past-question,active
COM-0059,JAMB,Commerce,Trade/Commerce Basics,International Trade,medium,2025,,Commercial activities among West African countries are greatly hindered by,,nationalization decree,good road network,lack of an acceptable medium of exchange,too many commercial banks,C,,jamb|2025,past-question,active
COM-0060,JAMB,Commerce,Insurance,Principles of Insurance,medium,2025,,Which of the following is not a principle of insurance?,,Insurable risk,Insurable interest,Indemnity,Subrogation,A,,jamb|2025,past-question,active
COM-0061,JAMB,Commerce,Office Practice,Basic Accounting,medium,2025,,"Use the information below to answer the question: Sales \(\text{N50,000}\), Debtors \(\text{N10,000}\), Cash in hand \(\text{N5,000}\), Opening stock \(\text{N30,000}\), Creditors \(\text{N8,000}\), Purchases \(\text{N16,000}\), Overdraft \(\text{N12,000}\), Closing stock \(\text{N10,000}\). Calculate the working capital",,"N35,000","N14,000","N5,000","N20,000",C,,jamb|2025,past-question,active
COM-0062,JAMB,Commerce,Trade/Commerce Basics,Factors of Production,medium,2025,,Labour and entrepreneur are examples of,,primary production,direct services,factors of production,division of labour,C,,jamb|2025,past-question,active
COM-0063,JAMB,Commerce,Business Organization,Combinations,medium,2025,,"An organization of producers of similar products, which controls output with the intention to fix price is a",,cartel,trust,syndicate,consortium,A,,jamb|2025,past-question,active
COM-0064,JAMB,Commerce,Stock Exchange,Sources of Capital,medium,2025,,A source of capital to a public company which attracts a fixed rate of interest is,,an ordinary share,a debenture,a subvention,an overdraft,B,,jamb|2025,past-question,active
COM-0065,JAMB,Commerce,Business Law/Contract,Agency,medium,2025,,The duty of an agent of necessity to a principal is based on?,,Negotiation,Trust,Ability,Mutual agreement,B,,jamb|2025,past-question,active
COM-0066,JAMB,Commerce,Business Law/Contract,Contract Law,medium,2025,,A false statement made by one party with an intention of inducing the other party to enter into a contract with him is known as,,consensus ad idem,legal capacity,consideration,misrepresentation,D,,jamb|2025,past-question,active
COM-0067,JAMB,Commerce,Office Practice,Basic Accounting,medium,2025,,The difference between the cost price and selling price of an article is,,rebate,mark-up,discount,commission,B,,jamb|2025,past-question,active
COM-0068,JAMB,Commerce,Transportation,Port Authority,medium,2025,,One of the functions of the ports authority is,,enforcing law and order in harbors,checking the activities of smugglers,collecting import duties,providing warehousing services,D,,jamb|2025,past-question,active
COM-0069,JAMB,Commerce,Stock Exchange,Share Capital,medium,2025,,"A limited company has an authorized capital of 20,000,000 shares. If each share capital cost 50k and the company sold 12,000,000 shares, its issued capital is \(\left(12{,}000{,}000 \times \text{N0.50}\right)\)",,"N16,000,000","N4,000,000","N10,000,000","N6,000,000",D,,jamb|2025,past-question,active
COM-0070,JAMB,Commerce,Office Practice,Organization Structure,medium,2025,,A diagram showing the positions of the structure of a company is,,organizational chart,flow chart,span of control,vertical integration,A,,jamb|2025,past-question,active
COM-0071,JAMB,Commerce,Office Practice,Organization Structure,medium,2025,,Span of control is defined as the,,authority of the supervisor,number of subordinates reporting directly to a supervisor,qualification possessed by the supervisor,number of staff in the organization,B,,jamb|2025,past-question,active
COM-0072,JAMB,Commerce,Warehousing,Functions of Warehousing,medium,2025,,The production of goods in anticipation of demand is possible because of the existence of?,,Advertising,Branding,Packaging,Warehousing,D,,jamb|2025,past-question,active
COM-0073,JAMB,Commerce,Marketing/Advertising,Customer Service,medium,2025,,Which of the following is not pre-sale service?,,Repair and maintenance work,Setting up facilities for storing the product to be bought,Demonstrating the use and performance of the product to be sold,Providing detailed information about the goods to be purchased,A,,jamb|2025,past-question,active
COM-0074,JAMB,Commerce,Transportation,Modes of Transport,medium,2025,,The mode of transport that conveys goods at low cost per unit is,,rail,air,road,pipeline,A,,jamb|2025,past-question,active
COM-0075,JAMB,Commerce,Trade/Commerce Basics,Definition of Commerce,medium,2025,,All activities geared towards the distribution and exchange of goods and services is,,commerce,market survey,personal selling,trade,A,,jamb|2025,past-question,active
COM-0076,JAMB,Commerce,Trade/Commerce Basics,International Trade,medium,2025,,An example of in invisible item of trade is,,textile,machinery,oil,shipping,D,,jamb|2025,past-question,active
COM-0077,JAMB,Commerce,Trade/Commerce Basics,Consumer Protection,medium,2025,,The saying that the 'consumer is always right' describes the doctrine of,,consumer protection,proximate cause,consumer sovereignty,caveat emptor,C,,jamb|2025,past-question,active
COM-0078,JAMB,Commerce,Stock Exchange,Share Capital,medium,2025,,The part of issued share capital that the company has asked the subscribers to pay for,,nominal capital,paid-up capital,authorized capital,called-up capital,D,,jamb|2025,past-question,active
COM-0079,JAMB,Commerce,Stock Exchange,Stock Exchange Operations,medium,2025,,A put option in the stock exchange is an option,,to buy,not to sell,not to buy,to sell,D,,jamb|2025,past-question,active
COM-0080,JAMB,Commerce,Marketing/Advertising,Product Strategy,medium,2025,,The grading of products to satisfy different buyers is referred to as?,,Product differentiation,Product line,Product concept,Product mix,A,,jamb|2025,past-question,active
COM-0081,JAMB,Commerce,Banking and Finance,Central Bank,medium,2025,,The purpose for which the Central Bank sells securities is to,,reduce the interest rate,increase the interest rate,increase cash in the economy,reduce cash in the economy,D,,jamb|2025,past-question,active
COM-0082,JAMB,Commerce,Business Organization,Company Formation,medium,2025,,The document issued by the registrar of companies to permit a public limited company to commence business is,,Memorandum of Association,Article of Association,Trading certificate,Certificate of Incorporation,C,,jamb|2025,past-question,active
